                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.41167,                 3.1058,                 1.0251,                0.00343,                      1,                0.49646,                0.47695,                0.25099,                  3.515,                0.85199,                 0.0001,                 0.0001,                 0.0001
                      2,                0.29325,                 2.2668,                0.90218,                0.00368,                      1,                0.53822,                 0.5074,                0.28345,                 3.1513,                0.87752,             0.00020829,             0.00020829,             0.00020829
                      3,                0.33299,                  1.633,                0.91372,                0.50067,                 0.9707,                0.71026,                0.68802,                0.29127,                 2.7813,                0.86924,             0.00031213,             0.00031213,             0.00031213
                      4,                0.32396,                 1.3262,                0.90912,                0.73907,                0.52091,                0.87147,                0.84028,                0.26893,                 2.3899,                0.87846,             0.00041151,             0.00041151,             0.00041151
                      5,                0.30557,                 1.1349,                0.90072,                0.95481,                0.76328,                0.99086,                0.91396,                0.35659,                 2.0911,                 0.9271,             0.00050644,             0.00050644,             0.00050644
                      6,                 0.3101,                 0.9688,                0.89538,                0.85751,                0.66358,                0.97469,                 0.8175,                 0.6026,                  2.423,                 1.2726,             0.00059691,             0.00059691,             0.00059691
                      7,                0.34064,                 0.9035,                0.89488,                0.84278,                0.78535,                0.99024,                0.89484,                 0.5498,                 2.3928,                 1.1052,             0.00068293,             0.00068293,             0.00068293
                      8,                0.29583,                0.79424,                0.87588,                0.72993,                0.91812,                  0.995,                0.85335,                0.56799,                 2.3992,                 1.1233,             0.00076449,             0.00076449,             0.00076449
                      9,                0.28782,                0.77598,                0.87343,                0.97684,                0.99473,                  0.995,                0.94656,                0.51782,                 1.5101,                 1.1254,              0.0008416,              0.0008416,              0.0008416
                     10,                 0.2956,                0.71466,                0.89138,                0.93807,                 0.9765,                  0.995,                0.95003,                 0.3858,                 1.6821,                 1.0356,             0.00091425,             0.00091425,             0.00091425
                     11,                0.30843,                0.76357,                0.89139,                0.80327,                0.99492,                0.85105,                0.79836,                 0.3684,                 1.8636,                0.93982,             0.00098245,             0.00098245,             0.00098245
                     12,                0.29026,                0.69188,                0.88076,                0.77758,                0.99209,                0.83945,                0.77266,                0.48506,                 1.5943,                  1.046,             0.00097775,             0.00097775,             0.00097775
                     13,                0.28949,                0.64201,                0.88049,                0.97063,                0.99539,                  0.995,                0.95772,                0.35367,                 1.0741,                 0.9776,             0.00097775,             0.00097775,             0.00097775
                     14,                0.26698,                0.59118,                0.87338,                0.98989,                      1,                  0.995,                0.96089,                0.41895,                0.94532,                 1.0396,               0.000953,               0.000953,               0.000953
                     15,                0.29108,                0.61983,                0.88825,                0.92954,                 0.9907,                  0.995,                0.95486,                0.29347,                 1.0293,                0.87917,             0.00092825,             0.00092825,             0.00092825
                     16,                0.29296,                0.57869,                0.88645,                0.94545,                0.96196,                  0.995,                0.96088,                0.26424,                0.86359,                0.85863,              0.0009035,              0.0009035,              0.0009035
                     17,                0.28291,                 0.5491,                0.87889,                0.98771,                      1,                  0.995,                0.95014,                0.31161,                0.84109,                0.89182,             0.00087875,             0.00087875,             0.00087875
                     18,                 0.2623,                0.51447,                0.88187,                0.98986,                      1,                  0.995,                0.97985,                0.30546,                0.71269,                0.89812,               0.000854,               0.000854,               0.000854
                     19,                0.25334,                0.49903,                0.87892,                0.99453,                      1,                  0.995,                0.99036,                0.20408,                0.63046,                0.82655,             0.00082925,             0.00082925,             0.00082925
                     20,                0.26567,                0.49159,                0.86178,                0.99059,                      1,                  0.995,                0.98796,                0.21629,                0.68466,                0.83286,              0.0008045,              0.0008045,              0.0008045
                     21,                0.26988,                0.46691,                0.87347,                0.99575,                      1,                  0.995,                0.98723,                0.23604,                0.52305,                0.84069,             0.00077975,             0.00077975,             0.00077975
                     22,                0.24797,                0.45222,                0.87231,                0.99519,                      1,                  0.995,                0.98794,                0.19728,                0.52702,                0.82215,               0.000755,               0.000755,               0.000755
                     23,                 0.2341,                0.43375,                 0.8658,                0.99167,                      1,                  0.995,                0.98467,                0.27332,                0.51972,                0.86472,             0.00073025,             0.00073025,             0.00073025
                     24,                0.25753,                0.43267,                0.86408,                0.99281,                      1,                  0.995,                0.98565,                0.23556,                0.46673,                0.83942,              0.0007055,              0.0007055,              0.0007055
                     25,                0.23453,                 0.4159,                0.86712,                0.99608,                      1,                  0.995,                0.99049,                0.22779,                0.46451,                0.82677,             0.00068075,             0.00068075,             0.00068075
                     26,                0.24426,                0.42296,                0.86824,                 0.9963,                      1,                  0.995,                0.98411,                0.25417,                0.42264,                0.85549,               0.000656,               0.000656,               0.000656
                     27,                0.22971,                0.38648,                 0.8676,                0.99044,                      1,                  0.995,                0.99332,                0.17979,                0.42727,                0.81522,             0.00063125,             0.00063125,             0.00063125
                     28,                0.22705,                0.40177,                 0.8689,                0.99582,                      1,                  0.995,                0.98781,                0.19559,                0.40066,                0.81686,              0.0006065,              0.0006065,              0.0006065
                     29,                0.23307,                0.37946,                0.86266,                0.99467,                      1,                  0.995,                0.98897,                0.20317,                0.41508,                0.81562,             0.00058175,             0.00058175,             0.00058175
                     30,                0.21827,                0.36179,                 0.8523,                0.99463,                      1,                  0.995,                0.98685,                0.19927,                0.43032,                0.81361,               0.000557,               0.000557,               0.000557
                     31,                 0.2118,                0.35213,                0.85444,                 0.9939,                      1,                  0.995,                0.99053,                0.22883,                 0.3983,                0.83315,             0.00053225,             0.00053225,             0.00053225
                     32,                0.21784,                0.36187,                0.85817,                 0.9958,                      1,                  0.995,                 0.9934,                0.21553,                 0.3836,                0.82738,              0.0005075,              0.0005075,              0.0005075
                     33,                0.21627,                0.34447,                0.85011,                0.99557,                      1,                  0.995,                0.99155,                 0.1859,                0.36355,                0.80344,             0.00048275,             0.00048275,             0.00048275
                     34,                0.22059,                  0.342,                0.86191,                0.99602,                      1,                  0.995,                0.99349,                0.19674,                0.33586,                0.81596,               0.000458,               0.000458,               0.000458
                     35,                0.20911,                0.33458,                0.87564,                0.99629,                      1,                  0.995,                0.99366,                0.24333,                0.40826,                0.87071,             0.00043325,             0.00043325,             0.00043325
                     36,                0.20705,                 0.3299,                0.86683,                0.99599,                      1,                  0.995,                 0.9878,                0.23283,                0.35063,                0.84871,              0.0004085,              0.0004085,              0.0004085
                     37,                0.21099,                0.32873,                0.85901,                0.99609,                      1,                  0.995,                0.99165,                0.18889,                0.31776,                0.81561,             0.00038375,             0.00038375,             0.00038375
                     38,                0.19992,                0.34153,                 0.8541,                0.99617,                      1,                  0.995,                0.99345,                0.20163,                0.33098,                0.81964,               0.000359,               0.000359,               0.000359
                     39,                0.21745,                0.31433,                0.86172,                0.99601,                      1,                  0.995,                0.99355,                0.17198,                0.32549,                0.80312,             0.00033425,             0.00033425,             0.00033425
                     40,                0.19909,                0.31092,                0.85419,                0.99584,                      1,                  0.995,                0.99286,                0.18969,                0.30834,                0.81463,              0.0003095,              0.0003095,              0.0003095
                     41,                0.18617,                0.41411,                0.82006,                0.98961,                      1,                  0.995,                0.98911,                0.24627,                0.51368,                0.84656,             0.00028475,             0.00028475,             0.00028475
                     42,                0.17951,                0.38561,                0.82292,                0.99452,                      1,                  0.995,                0.99388,                0.21216,                0.39244,                0.83158,                0.00026,                0.00026,                0.00026
                     43,                0.17288,                0.35402,                0.80857,                0.99411,                      1,                  0.995,                0.99336,                0.19164,                0.38525,                0.82172,             0.00023525,             0.00023525,             0.00023525
                     44,                0.18495,                0.35553,                0.81667,                0.99275,                      1,                  0.995,                0.99372,                0.19039,                0.34235,                0.81789,              0.0002105,              0.0002105,              0.0002105
                     45,                0.17516,                0.34172,                0.80386,                0.99359,                      1,                  0.995,                 0.9936,                0.18612,                0.32676,                0.81334,             0.00018575,             0.00018575,             0.00018575
                     46,                0.16945,                0.33105,                0.80807,                0.99514,                      1,                  0.995,                  0.995,                0.17318,                0.34376,                 0.8162,               0.000161,               0.000161,               0.000161
                     47,                0.16719,                0.32083,                 0.7991,                0.99586,                      1,                  0.995,                0.99372,                0.15306,                0.29715,                0.79845,             0.00013625,             0.00013625,             0.00013625
                     48,                0.16404,                0.33438,                0.79974,                  0.996,                      1,                  0.995,                0.98969,                0.17193,                0.34097,                0.80661,              0.0001115,              0.0001115,              0.0001115
                     49,                0.15388,                0.29906,                0.80065,                0.99486,                      1,                  0.995,                0.99372,                0.14478,                0.28922,                0.79108,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.16123,                0.29902,                0.80109,                0.99495,                      1,                  0.995,                0.99388,                0.14582,                 0.2705,                 0.7923,                6.2e-05,                6.2e-05,                6.2e-05
